songs_lis,retrived_counts
Beni Kendinden Kurtar,56
Blinding Lights,59
Sarilirim Birine,92
Benimle Kayboldun,124
Dinle Beni Bi',151
lovely (with Khalid),117
Gitme,94
Giderdi Hosuma,110
Nalan,71
Cevapsiz Sorular,202
Yapma N'olursun,142
Bir Derdim Var,207
Sen Benim Sarkilarimsin,122
Eskimis Senelere,69
Böyle Sever,107
Acinin Ilaci,144
Ölsem Yeridir,90
Hadi Gittik,94
Seni Kendime Sakladim,122
Neyim Var Ki (feat. Sagopa K),161
Ay Tenli Kadin,145
Olsun,158
AYA,69
Zombi,92
Do I Wanna Know?,69
Rüyalarda Burusmusum,209
Ne Güzel Güldün,172
Geceler,190
Defoluyorum,98
Her Seyi Yak,60
Ölüme Inat,87
Dance Monkey,69
Nilüfer,195
Yol,104
Ne Farkeder,199
HIGHEST IN THE ROOM,67
Müzik Kutusu,91
Affet,185
Birakman Dogru Mu,82
LOLO,71
<U+0414><U+0435><U+0442><U+0441><U+0442><U+0432><U+043E>,80
Bodrum,153
Kupa Kizi Ve Sinek Valesi,124
Beni Sen Inandir,208
