songs_lis,retrived_counts
Seni Dert Etmeler,40
Kusura Bakma,11
Allah’indan Bul,14
Dünyadan Uzak,45
Huyu Suyu,13
Dünyadan Uzak,45
Unutulacak Dünler,49
Kafamda Kentsel Dönüsümler,23
HARMAN,13
Uzunlar - V1,34
Devam (feat. Luciano & Ezhel),17
Toy,13
Sallan,22
Dargin,19
Ben Gibi Bakmaz,15
Uzak Ol,13
Birakma Kendini,39
Mesafe,36
Nimet,27
Kazili Kuyum,53
Sar Bu Sehri (Akustik),46
Yagmurlar,44
Bi Sonraki Hayatimda Gel,51
Sana Ne,20
Nirvana,50
Ben Elimi Sana Verdim,11
Ben De Yoluma Giderim,47
Daha Mutlu Olamam,38
Kördügüm,26
Küçük Bir Yol,19
ALEV ALEV,37
Yanginlar,16
Deep End,13
Duman,20
O Ben Olamam,40
Sweater Weather,17
Valse,20
Galaksi,28
Vazgeçtim Inan,17
Sagi Solu Kes,49
Rüyalara Sor,21
Kelebekler,19
Bil Diye Söylüyorum,22
Kalbim Tatilde - Mustafa Ceceli Versiyon,25
Siyah,31
Kendime Yalan Söyledim,40
Heveslenmem,45
Neyin Nesi,37
positions,12
Zor,18
Ederin Olsun,22
Ankara'yla Bozusuruz,41
Saman Sarisi,25
Fight Kulüp 2,12
<U+0412><U+043B><U+044E><U+0431><U+0438><U+043B><U+0441><U+044F> <U+0432> <U+043D><U+0435><U+0451>,15
Seni Buldum Ya,14
Madem,53
Teni Tenime,44
Uslanmiyor Bu,54
Pisligin Üstüne Basmislar,39
Sicak Sarap,23
Bagisla,15
Roses - Imanbek Remix,51
Daisy,15
Heyecandan,21
Kendime Sardim,32
Pembe Mezarlik,28
Gangsta's Paradise,33
Kendime,31
Kaçar Gider,43
O Bi Karamel,11
Yaralarimi Sar,14
Deli Kiz,25
Aman Aman,15
Anadolu Flex,20
Her Mevsim Yazim,35
Dönme,14
WAP (feat. Megan Thee Stallion),23
How You Like That,29
Leila,44
Geber,37
Bütün Istanbul Biliyo,23
Lemonade (feat. Gunna, Don Toliver & NAV),17
Eskisi Gibi,27
Yetinmeyi Bilir Misin?,52
Gel Bahtimin Kar Beyazi,21
Ardindan,17
Söz Yaslari,11
Made In Turkey,28
Kalmam,43
